codigo_postal,estado,municipio,ciudad,tipo_asentamiento,asentamiento,clave_oficina
01389,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Santa Fe Tlayapaca,01401
01400,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Olivar del Conde 1a Sección,01401
01400,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Preconcreto,01401
01407,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Galeana,01401
01408,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Olivar del Conde 2a Sección,01401
01410,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Barrio Norte,01401
01410,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Palmas,01401
01419,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Minas Cristo Rey,01401
01420,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Sacramento,01401
01420,Ciudad de México,Álvaro Obregón,Ciudad de México,Barrio,Santa María Nonoalco,01401
01430,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Colina del Sur,01401
01450,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Hogar y Redención,01401
01460,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Alfonso XIII,01401
01470,Ciudad de México,Álvaro Obregón,Ciudad de México,Barrio,Alfalfar,01401
01470,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Molino de Rosas,01401
01480,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Lomas de Plateros,01401
01490,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,La Cascada,01401
01500,Ciudad de México,Álvaro Obregón,Ciudad de México,Pueblo,Santa Lucía,01401
01500,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Miguel Gaona Armenta,01401
01509,Ciudad de México,Álvaro Obregón,Ciudad de México,Pueblo,Santa Lucía Chantepec,01401
01510,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Garcimarrero,01401
01510,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,La Araña,01401
01510,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Los Cedros,01401
01520,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Ampliación Los Pirules,01401
01520,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Estado de Hidalgo,01401
01520,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Ampliación Estado de Hidalgo,01401
01520,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Piru Santa Lucía,01401
01520,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,El Politoco,01401
01530,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Corpus Christy,01401
01538,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Tepopotla,01401
01539,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Acuilotla,01401
01539,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Cooperativa Unión Olivos,01401
01540,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Balcones de Cehuayo,01401
01540,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Cehuaya,01401
01540,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Llano Redondo,01401
01540,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Punta de Cehuaya,01401
01548,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Villa Progresista,01401
01549,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Dos Ríos del Pueblo Santa Lucía,01401
01550,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Tepeaca,01401
01550,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Ampliación Tepeaca,01401
01550,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Rinconada Las Cuevitas,01401
01560,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Ave Real,01401
01560,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Canutillo,01401
01560,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Canutillo 3a Sección,01401
01560,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Canutillo 2a Sección,01401
01566,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Hueytlale,01401
01569,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Reacomodo Valentín Gómez Farías,01401
01588,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Tarango,01401
01590,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,El Rincón,01401
01600,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Merced Gómez,01401
01610,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Colinas de Tarango,01401
01610,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Profesor J. Arturo López Martínez,01401
01618,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Arcos Centenario,01401
01618,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,Ex-Hacienda de Tarango,01401
01619,Ciudad de México,Álvaro Obregón,Ciudad de México,Colonia,La Martinica,01401
04640,Ciudad de México,Coyoacán,Ciudad de México,Colonia,El Reloj,04831
